date,value
2017-04-12,3.1429
2017-04-13,3.1305
2017-04-13,3.1305
2017-04-13,3.1305
2017-04-13,3.1305
2017-04-13,3.1305
2017-04-18,3.1075
2017-04-19,3.1112
2017-04-20,3.1429
2017-04-21,3.1485
2017-04-21,3.1485
2017-04-21,3.1485
2017-04-24,3.1253
2017-04-25,3.1521
2017-04-26,3.1691
2017-04-27,3.1603
2017-04-28,3.1764
2017-04-28,3.1764
2017-04-28,3.1764
2017-04-28,3.1764
2017-05-02,3.1686
2017-05-03,3.1527
2017-05-04,3.1868
2017-05-05,3.1856
2017-05-05,3.1856
2017-05-05,3.1856
2017-05-08,3.1903
2017-05-09,3.1898
2017-05-10,3.1649
2017-05-11,3.1642
2017-05-12,3.147
2017-05-12,3.147
2017-05-12,3.147
2017-05-15,3.1047
2017-05-16,3.103
2017-05-17,3.0985
2017-05-18,3.1349
2017-05-19,3.3301
