date,value
2017-03-31,0.74946
2017-03-31,0.74946
2017-04-03,0.74924
2017-04-04,0.74378
2017-04-05,0.74718
2017-04-06,0.74473
2017-04-07,0.74565
2017-04-07,0.74565
2017-04-07,0.74565
2017-04-10,0.7473
2017-04-11,0.75083
2017-04-12,0.75138
2017-04-13,0.75556
2017-04-13,0.75556
2017-04-13,0.75556
2017-04-13,0.75556
2017-04-13,0.75556
2017-04-18,0.74841
2017-04-19,0.74402
2017-04-20,0.74134
2017-04-21,0.74225
2017-04-21,0.74225
2017-04-21,0.74225
2017-04-24,0.74454
2017-04-25,0.73638
2017-04-26,0.73641
2017-04-27,0.73605
2017-04-28,0.73287
2017-04-28,0.73287
2017-04-28,0.73287
2017-04-28,0.73287
2017-05-02,0.73118
2017-05-03,0.72842
2017-05-04,0.72798
2017-05-05,0.72618
2017-05-05,0.72618
2017-05-05,0.72618
2017-05-08,0.72988
2017-05-09,0.72971
2017-05-10,0.73009
2017-05-11,0.72857
2017-05-12,0.72793
